"Relative Time","Controller and Load Generators Resources:CPU Usage:drgirija","Controller and Load Generators Resources:Disk Usage:drgirija","Controller and Load Generators Resources:Memory Usage:drgirija","Errors per Second (by Description):Error -26612:PlaeOrder.c(193) Error -26612 HTTP Status-Code=500 (Internal Server Error) for ""http//localhost8080/jpetstore/actions/Order.action?newOrder=&confirmed=true"""
"00:00","31.877","30.288","66.229","0"
"01:04","15.443","10.125","67.231","0"
"02:08","14.367","7.797","66.627","0"
"03:12","21.776","10.63","66.468","0"
"04:16","16.577","17.88","66.377","0"
"05:20","28.134","40.137","69.006","0.016"
"06:24","42.247","11.548","69.054","0"
"07:28","32.869","7.883","68.924","0"
"08:32","35.546","15.538","69.161","0.016"
"09:36","41.266","6.617","67.946","0"
"10:40","17.182","3.245","66.008","0"
"11:44","31.547","14.029","66.119","0"
"12:48","27.51","4.484","66.268","0"
"13:52","24.076","3.144","65.982","0"
"14:56","26.535","7.23","66.006","0"
"16:00","35.401","20.637","66.643","0"
"17:04","16.105","7.018","66.762","0"
"18:08","21.538","3.764","66.837","0"
"19:12","35.189","11.999","67.998","0"
"20:16","19.379","3.264","66.739","0"
"21:20","36.571","7.962","67.121","0"
"22:24","30.306","7.811","67.12","0"
"23:28","25.068","3.593","66.988","0"
"24:32","13.232","1.992","66.502","0"
"25:36","16.416","3.901","66.55","0"
"26:40","15.646","3.667","66.812","0"
"27:44","16.141","11.083","66.65","0"
"28:48","13.693","2.429","66.657","0"
"29:52","16.76","6.834","66.815","0"
"30:56","15.496","2.363","66.508","0"
"32:00","11.504","1.595","66.495","0"
"33:04","14.254","3.531","66.645","0"
"34:08","28.071","8.383","67.611","0"
"35:12","16.422","5.153","67.159","0"
"36:16","10.766","1.825","67.08","0"
