"Absolute Time","% Disk Time (PhysicalDisk _Total):localhost","% Processor Time (Processor 0):localhost","% Processor Time (Processor 1):localhost","% Processor Time (Processor 2):localhost","% Processor Time (Processor 3):localhost","Available MBytes (Memory):localhost"
"02:55:59","56.228","48.09","45.262","48.436","44.393","34.435"
"02:57:03","8.435","38.443","35.316","36.853","35.739","43.545"
"02:58:07","12.816","40.986","37.385","36.912","37.056","46.314"
"02:59:11","4.599","41.984","37.616","38.437","39.13","62.205"
"03:00:15","2.398","36.422","30.845","32.583","37.591","73.068"
"03:01:19","16.136","38.336","31.115","33.957","38.738","68.867"
"03:02:23","3.807","36.362","29.514","33.164","37.503","76.438"
"03:03:27","2.181","36.949","28.837","31.689","38.088","74.214"
"03:04:31","24.227","51.54","48.394","48.735","49.992","57.624"
"03:05:35","34.301","60.867","58.237","59.426","58.932","28.748"
"03:06:39","49.589","56.325","52.231","53.227","51.888","39.495"
"03:07:43","24.329","51.067","48.44","50.001","47.374","41.31"
"03:08:47","22.317","45.708","42.51","43.902","43.006","48.667"
"03:09:51","9.934","53.522","49.405","50.715","49.429","63.595"
"03:10:55","5.229","42.509","38.058","38.392","35.687","58.062"
"03:11:59","10.713","40.324","38.017","38.387","35.857","50.986"
"03:13:03","2.912","36.279","32.707","33.279","32.534","57.686"
"03:14:07","2.388","37.12","34.068","36.362","35.249","67.724"
"03:15:11","17.536","39.141","36.164","37.032","35.644","79.471"
"03:16:15","6.336","38.268","36.554","37.252","35.738","69.677"
"03:17:19","1.999","35.988","33.762","34.923","32.719","74.219"
"03:18:23","1.985","37.586","34.539","34.564","33.544","73.452"
"03:19:27","8.903","39.001","36.751","36.328","34.693","73.636"
"03:20:31","5.736","30.599","29.059","29.344","26.476","78.571"
"03:21:35","21.693","26.567","26.518","29.293","24.283","71.476"
"03:22:39","6.535","41.002","34.652","36.387","37.331","66.595"
"03:23:43","1.516","36.934","28.837","30.656","36.696","68.633"
"03:24:47","18.457","54.972","51.152","53.435","51.97","46.633"
"03:25:51","15.551","50.754","46.614","47.009","45.845","50.032"
"03:26:55","6.622","49.307","46.182","47.531","45.732","53.838"
"03:27:59","6.409","44.269","39.332","41.566","39.307","54.29"
"03:29:03","10.927","45.642","41.549","42.369","39.491","52.427"
"03:30:07","13.026","42.362","37.793","39.688","36.99","54.629"
"03:31:11","58.002","47.905","51.026","54.405","42.273","42.038"
"03:32:15","45.904","60.963","65.131","66.174","59.848","33.325"
